id,title,release_date,year,genre,duration_minutes,plot
350295e9-aad9-4160-8e09-0d44221e32b6,¡Caigan las rosas blancas!,01/02/2025,2025,Drama,123,"Violeta (Carolina Alamino) es una directora de cine contratada para dirigir una película porno después de realizar una porno lésbica amateur. Sin embargo, sus ideas sobre los géneros cinematográficos le impiden realizar la película, y emprende un viaje con sus amigas a São Paulo. Allí, al lanzarse a nadar en el Océano Atlántico, descubren una isla habitada por una comunidad vampírica liderada por Elvira (Luisa Gavasa)​"
f0b76aa5-3018-4279-b0dd-c8333b16ad6f,8,16/03/2025,2025,Drama histórico,126,"8 es una película española de drama histórico de 2025, escrita, coproducida y dirigida por Julio Medem. Está protagonizada por Javier Rey y Ana Rujas. Se estrenó en el Festival de Málaga el 16 de marzo de 2025, y luego se estrenó en cines españoles el 21 de marzo de 2025, con distribución de Vercine."
0ad46be2-3fcf-4bd8-9ed0-a48e79a64612,Almudena,15/03/2025,2025,Documental,80,"La película se centra en celebrar la vida y obra de la fallecida escritora Almudena Grandes, y sigue a su marido, Luis García Montero, quien se adentra en el doloroso vacío que ha dejado la muerte de Almudena, completando así el retrato íntimo de la escritora.​"
a009e701-a94f-4834-bedf-a4dd5aa98f75,Antes de nós,20/05/2025,2025,Drama biográfico,84,"La película se centra en dos momentos clave de la relación entre Castelao y Virxinia Pereira. En 1918, Castelao dimite de su puesto de trabajo como funcionario en Pontevedra, para trabajar como médico en Rianjo, en medio de la gripe española, lo que lo convierte en un héroe y abre una brecha en su relación con Virxinia. Once años después, en 1929, el matrimonio realiza un viaje en Bretaña para lidiar con la pérdida de su único hijo, el cual los unirá para siempre.​"
e0bdeb7c-6423-4b99-a441-66ca63057360,Bajo un volcán,20/06/2025,2025,AventurasCatástrofesDrama romántico,92,"Cuando la noticia de la posible erupción inminente de un volcán en Tenerife se hace pública, el piloto militar Mario Torres (William Levy) y la vulcanóloga Dani (Maggie Civantos) deben luchar por su supervivencia y la de los habitantes de Garachico frente a la inminente amenaza natural – y a la vez, lidiar con el amor y la pasión que nace entre ellos.​"
2242e53f-a1f4-42cf-8e50-1c42452284b9,Casi septiembre,,2025,Cortometraje y cine LGBT,,"La película cuenta la historia de Alejandra, una joven que vive una vida monótona en el camping costero de su familia. Sus veranos están marcados por fugaces romances con turistas, pero todo cambia cuando conoce a Amara, una chica de ciudad segura y misteriosa. Su conexión obliga a Alejandra a enfrentar traumas del pasado, cuestionar sus límites y embarcarse en un viaje de autodescubrimiento y crecimiento, redefiniendo sus puntos de vista sobre el amor y la identidad.​"
abdd1e97-445e-4fa8-ac10-c807acb76142,Cuatro paredes,25/04/2025,2025,Drama,82,"Cerca de cumplir los 10 años de edad, Sofía tiene que lidiar con el duelo por la muerte de su padre, junto a su madre, Juana. Mientras Juana intenta mantener a las dos a salvo de la precariedad, Sofía encuentra refugio en su pasión por el teatro.​"
3a1bbaac-b9a4-4451-be9b-c4d9774e5423,El casoplón,16/04/2025,2025,Comedia,88,"Buscando escapar de un desastroso verano, una familia de cinco decide quedarse a dormir en el casoplón vacío donde el padre, Carlos (Pablo Chiapella), está ejerciendo un trabajo temporal de jardinero durante dos semanas."
8218aec7-4278-434e-8f75-81d66e31231a,El cielo de los animales,20/03/2025,2025,AntologíaDramaFantasía,81,"La película se centra en cuatro historias sobre la pérdida, protagonizadas por tres grupos de personajes. En la duología formada por La nadadora y Cómo ayudar a morir a un ser querido, Diego (Raúl Arévalo), tras ser abandonado por su mujer, conoce a Amanda (Paula Díaz), una saltadora de trampolín de 19 años con un brazo amputado, dando lugar a una relación fugaz y mágica. En El fin de Darío, Gracia (África de la Cruz) recibe una llamada de su pareja, Darío (Claudio Portalo), anunciándole que llega el fin del mundo durante otro de sus ataques de paranoia. En El hombre lagarto, Fran (Jesús Carroza) y Benicio (Manolo Solo) van a recoger las cosas del padre recién fallecido de uno de ellos, pero cuando llegan a su casa, descubren que el padre muerto en realidad es una criatura conocida como el Hombre Lagarto.​​"
14afadab-2287-4c4b-a693-b017b5cbd560,El secreto del orfebre,28/02/2025,2025,Drama romántico,99,"El secreto del orfebre es una película española de drama romántico de 2025, escrita y dirigida por Olga Osorio, basada en la novela homónima de Elia Barceló. Está protagonizada por Mario Casas y Michelle Jenner. Se estrenó en cines españoles el 28 de febrero de 2025, con distribución de Warner Bros. Pictures España."
9f7cb208-d48d-40a9-9c38-efb3ffb863f7,Ellas en la ciudad,22/05/2025,2025,Documental,70,El documental se centra en las vidas cotidianas de una generación de mujeres en cinco barrios de la periferia de Sevilla.​
1364a8d3-4000-4558-87f9-fcb2ff946179,Enemigos,15/03/2025,2025,Drama,103,"Chimo (Christian Checa) y El Rubio (Hugo Welzel) son dos adolescentes de barrio que han crecido siendo enemigos irreconciliables. Todo cambia cuando, un día, Chimo recibe la oportunidad de vengarse, sin saber que el destino tiene reservado un giro inesperado para los dos.​"
2c5d805f-7879-41bd-8546-cbe4ae676ed6,Esmorza amb mi,16/03/2025,2025,Drama,109,"La película cuenta las historias cruzadas de cuatro personajes individuales. Natalia es una madre soltera que sufre un accidente de tráfico que la podría dejar paralítica. Salva, un viejo amigo de Natalia, trabaja en el hospital donde está ingresada, habiendo dejado atrás su pasado de camello. Carlota, la pareja de Salva, intenta recuperarse de una vida de excesos y abandono y luchar contra una obsesión. Omar, un antiguo productor de música urbana con cuya obsesión Carlota está intentando superar, malvive componiendo jingles publicitarios.​"
658e66e9-6c9f-453f-925f-2e3cbf0dbcc3,Hamburgo,21/03/2025,2025,Thriller,110,"Germán (Jaime Lorente) se dedica a transportar mujeres a clubes de alterne en la Costa del Rol, donde trabajan como esclavas. Un día, ve la oportunidad de dejar todo eso atrás y decide robar toda la recaudación del club. Sin embargo, eso sólo le deja en más peligro que nunca, y su único objetivo pasa a ser el mismo que el de las chicas que transporta: escapar.​"
44fbb68d-bbc0-4e6b-954a-c021f6f0ef33,Ídolos,,2025,DramaAcciónRomántica,,"Edu (Casas) es un joven piloto de motos muy agresivo en quien ningún equipo confía. Eli (Arce), jefe del equipo de Aspar Team en Moto2, le ofrece una oportunidad con la condición de que sea su padre, Antonio Belardi (Santamaria), quien le entrene. Edu lleva muchos años sin ver a su padre, un expiloto que se retiró de las pistas tras provocar la muerte de otro piloto durante una carrera. Aunque Edu odia a su padre por haberle abandonado, sabe que solo con él puede llegar a alcanzar su sueño."
